,Accuracy,Embed
0,0.5040595643335699,PCA 50D
1,0.5031814956036422,PCA 50D
2,0.5024838519552065,PCA 50D
3,0.5412872728147515,PCA 100D
4,0.5413714711861145,PCA 100D
5,0.5385327832373071,PCA 100D
6,0.407219408927433,PCA UMAP Sup.
7,0.38957383595751593,PCA UMAP
8,0.43360958418032886,PCA t-SNE
9,0.4101663519251356,PCA UMAP Sup.
10,0.39545569361415495,PCA UMAP
11,0.4359551102397248,PCA t-SNE
12,0.4029132636491574,PCA UMAP Sup.
13,0.3923403538737265,PCA UMAP
14,0.43270745877286887,PCA t-SNE
15,0.2771569818492368,HPF96 UMAP Sup.
16,0.26763053754645943,HPF96 UMAP
17,0.295800906936743,HPF96 t-SNE
18,0.27851618412980983,HPF96 UMAP Sup.
19,0.27044516881773456,HPF96 UMAP
20,0.295800906936743,HPF96 t-SNE
21,0.275003909210099,HPF96 UMAP Sup.
22,0.270938330707146,HPF96 UMAP
23,0.29568062354908164,HPF96 t-SNE
24,0.234492464245763,HPF30 UMAP Sup.
25,0.23373467890349664,HPF30 UMAP
26,0.2516929886813332,HPF30 t-SNE
27,0.23533444795939232,HPF30 UMAP Sup.
28,0.22579597531784884,HPF30 UMAP
29,0.2505984098536151,HPF30 t-SNE
30,0.23752360561482855,HPF30 UMAP Sup.
31,0.2300058938859954,HPF30 UMAP
32,0.2524387456848335,HPF30 t-SNE
33,0.3811179138049244,HPF 96D
34,0.386963686445265,HPF 96D
35,0.383884431721135,HPF 96D
36,0.3219866004306145,HPF 30D
37,0.3208799932641303,HPF 30D
38,0.3219986287693807,HPF 30D
