,Latent,Distance,Pearsonr,Dimension
147,PCA UMAP,Inter-Sex,0.11760808662411507,2D
148,PCA densSNE,Inter-Type,0.524982143630857,dens 2D
149,PCA densSNE,Intra-Sex,0.16303954607317214,dens 2D
150,PCA densSNE,Intra-Type,0.018519908989570157,dens 2D
151,PCA densSNE,Inter-Sex,0.0004833259952237087,dens 2D
152,PCA densMAP,Inter-Type,0.5771690022139567,dens 2D
153,PCA densMAP,Intra-Sex,0.5486678816455289,dens 2D
154,PCA densMAP,Intra-Type,0.7664380745582291,dens 2D
155,PCA densMAP,Inter-Sex,0.7045928966717997,dens 2D
156,PCA 50D,Inter-Type,0.97658070926656,50D
157,PCA 50D,Intra-Sex,0.6541137080842838,50D
158,PCA 50D,Intra-Type,0.8127861585583914,50D
159,PCA 50D,Inter-Sex,0.8177004148395285,50D
160,PCA 2D,Inter-Type,0.7848588533102867,2D
161,PCA 2D,Intra-Sex,0.3933213536763316,2D
162,PCA 2D,Intra-Type,0.43156364810068404,2D
163,PCA 2D,Inter-Sex,0.10539013415159666,2D
164,PCA TSNE,Inter-Type,0.5140546504471073,2D
165,PCA TSNE,Intra-Sex,0.03634463873612698,2D
166,PCA TSNE,Intra-Type,-0.14198372901681505,2D
167,PCA TSNE,Inter-Sex,-0.056023632823805125,2D
168,PCA UMAP,Inter-Type,0.5098101055610238,2D
169,PCA UMAP,Intra-Sex,-0.00018727127298876628,2D
170,PCA UMAP,Intra-Type,-0.15887188051540235,2D
171,PCA UMAP,Inter-Sex,-0.05265231060991976,2D
172,PCA densSNE,Inter-Type,0.5233139196917131,dens 2D
173,PCA densSNE,Intra-Sex,0.03002043639869408,dens 2D
174,PCA densSNE,Intra-Type,0.055184081232234214,dens 2D
175,PCA densSNE,Inter-Sex,-0.011182495078273116,dens 2D
176,PCA densMAP,Inter-Type,0.6439779688830087,dens 2D
177,PCA densMAP,Intra-Sex,0.5620828136582582,dens 2D
178,PCA densMAP,Intra-Type,0.7781776320896983,dens 2D
179,PCA densMAP,Inter-Sex,0.7359300008268402,dens 2D
